checkout_id,member_id,book_title,genre,checkout_date,due_date,return_date,late_fee
CHK-3047,MEM-0043,The Catcher in the Rye,Classic Fiction,2026-05-18,2026-06-08,,
CHK-3048,MEM-0052,Frankenstein,Gothic,2026-02-11,2026-03-04,2026-03-04,0.0
CHK-3049,MEM-0002,Jane Eyre,Gothic,2026-07-16,2026-08-06,2026-08-06,0.0
CHK-3050,MEM-0005,War and Peace,Historical Fiction,2026-06-21,2026-07-12,2026-07-12,0.0
CHK-3051,MEM-0028,The Catcher in the Rye,Classic Fiction,2026-01-10,2026-01-31,,
CHK-3052,MEM-0038,Pride and Prejudice,Classic Fiction,2026-04-06,2026-04-27,2026-04-27,0.0
CHK-3053,MEM-0041,Frankenstein,Gothic,2026-06-15,2026-07-06,2026-07-07,0.25
CHK-3054,MEM-0012,War and Peace,Historical Fiction,2026-02-03,2026-02-24,,
CHK-3055,MEM-0050,Jane Eyre,Gothic,2026-05-25,2026-06-15,2026-06-21,1.5
CHK-3056,MEM-0053,Jane Eyre,Gothic,2026-04-12,2026-05-03,2026-05-08,1.25
CHK-3057,MEM-0013,Moby Dick,Adventure,2026-01-03,2026-01-24,,
CHK-3058,MEM-0006,1984,Dystopian,2026-06-01,2026-06-22,2026-06-22,0.0
CHK-3059,MEM-0020,Moby Dick,Adventure,2026-03-10,2026-03-31,,
CHK-3060,MEM-0011,The Hobbit,Adventure,2026-05-26,2026-06-16,2026-06-16,0.0
CHK-3061,MEM-0022,Crime and Punishment,Historical Fiction,2026-06-18,2026-07-09,,
CHK-3062,MEM-0021,Brave New World,Dystopian,2026-03-15,2026-04-05,2026-04-07,0.5
CHK-3063,MEM-0016,Moby Dick,Adventure,2026-04-09,2026-04-30,2026-05-11,2.75
CHK-3064,MEM-0011,The Hobbit,Adventure,2026-04-18,2026-05-09,2026-05-09,0.0
CHK-3065,MEM-0043,Frankenstein,Gothic,2026-07-01,2026-07-22,2026-07-22,0.0
CHK-3066,MEM-0014,The Great Gatsby,Classic Fiction,2026-05-30,2026-06-20,2026-06-23,
CHK-3067,MEM-0033,Pride and Prejudice,Classic Fiction,2026-05-17,2026-06-07,2026-06-15,
CHK-3068,MEM-0029,The Hobbit,Adventure,2026-01-16,2026-02-06,2026-02-06,0.0
CHK-3069,MEM-0020,Crime and Punishment,Historical Fiction,2026-06-24,2026-07-15,2026-07-22,
CHK-3070,MEM-0011,The Catcher in the Rye,Classic Fiction,2026-06-26,2026-07-17,2026-07-18,
CHK-3071,MEM-0036,The Great Gatsby,Classic Fiction,2026-06-17,2026-07-08,2026-07-12,1.0
CHK-3072,MEM-0038,The Catcher in the Rye,Classic Fiction,2026-03-29,2026-04-19,2026-04-21,0.5
CHK-3073,MEM-0049,Jane Eyre,Gothic,2026-01-07,2026-01-28,2026-02-03,1.5
CHK-3074,MEM-0032,War and Peace,Historical Fiction,2026-03-15,2026-04-05,,
CHK-3075,MEM-0052,Moby Dick,Adventure,2026-07-27,2026-08-17,2026-08-20,0.75
CHK-3076,MEM-0010,War and Peace,Historical Fiction,2026-05-12,2026-06-02,,
CHK-3077,MEM-0005,Brave New World,Dystopian,2026-04-22,2026-05-13,2026-05-13,0.0
CHK-3078,MEM-0007,War and Peace,Historical Fiction,2026-01-27,2026-02-17,,
CHK-3079,MEM-0023,War and Peace,Historical Fiction,2026-03-15,2026-04-05,2026-04-05,0.0
CHK-3080,MEM-0032,Pride and Prejudice,Classic Fiction,2026-03-04,2026-03-25,,
CHK-3081,MEM-0007,1984,Dystopian,2026-06-05,2026-06-26,,
CHK-3082,MEM-0047,The Catcher in the Rye,Classic Fiction,2026-05-20,2026-06-10,2026-06-10,0.0
CHK-3083,MEM-0053,Moby Dick,Adventure,2026-06-14,2026-07-05,,
CHK-3084,MEM-0039,The Catcher in the Rye,Classic Fiction,2026-03-24,2026-04-14,2026-04-19,1.25
CHK-3085,MEM-0024,Moby Dick,Adventure,2026-03-09,2026-03-30,,
CHK-3086,MEM-0055,Jane Eyre,Gothic,2026-07-05,2026-07-26,,
CHK-3087,MEM-0050,Jane Eyre,Gothic,2026-01-08,2026-01-29,2026-01-29,0.0
CHK-3088,MEM-0008,War and Peace,Historical Fiction,2026-07-27,2026-08-17,2026-08-17,0.0
CHK-3089,MEM-0030,1984,Dystopian,2026-06-01,2026-06-22,,
CHK-3090,MEM-0023,Crime and Punishment,Historical Fiction,2026-05-23,2026-06-13,,
CHK-3091,MEM-0060,The Great Gatsby,Classic Fiction,2026-04-13,2026-05-04,2026-05-05,0.25
CHK-3092,MEM-0014,Moby Dick,Adventure,2026-07-14,2026-08-04,2026-08-04,0.0
CHK-3093,MEM-0024,The Catcher in the Rye,Classic Fiction,2026-07-19,2026-08-09,2026-08-11,0.5
CHK-3094,MEM-0012,To Kill a Mockingbird,Classic Fiction,2026-04-04,2026-04-25,2026-04-25,0.0
CHK-3095,MEM-0059,Brave New World,Dystopian,2026-07-29,2026-08-19,2026-08-24,1.25
CHK-3096,MEM-0048,Frankenstein,Gothic,2026-01-11,2026-02-01,2026-02-01,0.0
CHK-3097,MEM-0035,The Catcher in the Rye,Classic Fiction,2026-02-11,2026-03-04,,
CHK-3098,MEM-0016,Moby Dick,Adventure,2026-05-24,2026-06-14,2026-06-14,0.0
CHK-3099,MEM-0032,War and Peace,Historical Fiction,2026-06-14,2026-07-05,2026-07-06,0.25
CHK-3100,MEM-0032,The Catcher in the Rye,Classic Fiction,2026-03-24,2026-04-14,2026-04-14,0.0
CHK-3101,MEM-0055,Jane Eyre,Gothic,2026-04-14,2026-05-05,,
CHK-3102,MEM-0053,Jane Eyre,Gothic,2026-03-21,2026-04-11,,
CHK-3103,MEM-0047,Brave New World,Dystopian,2026-06-20,2026-07-11,2026-07-14,0.75
CHK-3104,MEM-0038,The Catcher in the Rye,Classic Fiction,2026-03-03,2026-03-24,2026-03-25,0.25
CHK-3105,MEM-0015,1984,Dystopian,2026-06-27,2026-07-18,,
CHK-3106,MEM-0059,Crime and Punishment,Historical Fiction,2026-07-07,2026-07-28,2026-07-29,
CHK-3107,MEM-0029,The Great Gatsby,Classic Fiction,2026-07-14,2026-08-04,2026-08-04,0.0
CHK-3108,MEM-0024,The Hobbit,Adventure,2026-01-28,2026-02-18,2026-02-24,1.5
CHK-3109,MEM-0058,War and Peace,Historical Fiction,2026-04-08,2026-04-29,2026-04-29,0.0
CHK-3110,MEM-0020,The Catcher in the Rye,Classic Fiction,2026-05-10,2026-05-31,2026-06-02,
CHK-3111,MEM-0054,The Catcher in the Rye,Classic Fiction,2026-02-20,2026-03-13,,
CHK-3112,MEM-0014,1984,Dystopian,2026-02-10,2026-03-03,2026-03-03,0.0
CHK-3113,MEM-0003,The Great Gatsby,Classic Fiction,2026-07-13,2026-08-03,2026-08-07,1.0
CHK-3114,MEM-0054,War and Peace,Historical Fiction,2026-05-11,2026-06-01,2026-06-01,0.0
CHK-3115,MEM-0045,The Great Gatsby,Classic Fiction,2026-04-21,2026-05-12,,
CHK-3116,MEM-0057,Frankenstein,Gothic,2026-01-24,2026-02-14,,
CHK-3117,MEM-0047,The Hobbit,Adventure,2026-07-18,2026-08-08,,
CHK-3118,MEM-0036,The Catcher in the Rye,Classic Fiction,2026-06-22,2026-07-13,2026-07-14,0.25
CHK-3119,MEM-0023,Brave New World,Dystopian,2026-06-17,2026-07-08,2026-07-08,0.0
CHK-3120,MEM-0030,Frankenstein,Gothic,2026-06-22,2026-07-13,2026-07-13,0.0
CHK-3121,MEM-0055,Crime and Punishment,Historical Fiction,2026-07-19,2026-08-09,2026-08-09,0.0
CHK-3122,MEM-0058,War and Peace,Historical Fiction,2026-06-26,2026-07-17,2026-07-19,0.5
CHK-3123,MEM-0045,The Hobbit,Adventure,2026-02-03,2026-02-24,2026-02-25,0.25
CHK-3124,MEM-0004,Brave New World,Dystopian,2026-04-27,2026-05-18,,
CHK-3125,MEM-0001,Jane Eyre,Gothic,2026-03-14,2026-04-04,,
CHK-3126,MEM-0008,The Hobbit,Adventure,2026-03-03,2026-03-24,2026-03-26,0.5
CHK-3127,MEM-0008,The Great Gatsby,Classic Fiction,2026-07-27,2026-08-17,2026-08-17,0.0
CHK-3128,MEM-0006,The Catcher in the Rye,Classic Fiction,2026-03-22,2026-04-12,2026-04-12,0.0
CHK-3129,MEM-0053,The Catcher in the Rye,Classic Fiction,2026-03-27,2026-04-17,2026-04-21,1.0
CHK-3130,MEM-0052,Moby Dick,Adventure,2026-01-04,2026-01-25,2026-01-28,0.75
CHK-3131,MEM-0003,War and Peace,Historical Fiction,2026-05-19,2026-06-09,2026-06-09,0.0
CHK-3132,MEM-0060,Frankenstein,Gothic,2026-07-07,2026-07-28,,
CHK-3133,MEM-0031,War and Peace,Historical Fiction,2026-01-31,2026-02-21,2026-02-25,1.0
CHK-3134,MEM-0042,Crime and Punishment,Historical Fiction,2026-04-12,2026-05-03,2026-05-06,0.75
CHK-3135,MEM-0008,1984,Dystopian,2026-06-01,2026-06-22,2026-06-27,1.25
CHK-3136,MEM-0020,1984,Dystopian,2026-02-05,2026-02-26,2026-02-28,0.5
CHK-3137,MEM-0043,1984,Dystopian,2026-06-01,2026-06-22,,
CHK-3138,MEM-0004,War and Peace,Historical Fiction,2026-06-21,2026-07-12,2026-07-12,0.0
CHK-3139,MEM-0057,Brave New World,Dystopian,2026-06-15,2026-07-06,2026-07-18,3.0
CHK-3140,MEM-0041,Brave New World,Dystopian,2026-03-19,2026-04-09,,
CHK-3141,MEM-0002,1984,Dystopian,2026-05-09,2026-05-30,2026-06-08,2.25
CHK-3142,MEM-0003,Frankenstein,Gothic,2026-07-15,2026-08-05,,
CHK-3143,MEM-0022,The Catcher in the Rye,Classic Fiction,2026-03-25,2026-04-15,,
CHK-3144,MEM-0055,Pride and Prejudice,Classic Fiction,2026-03-31,2026-04-21,2026-04-26,1.25
CHK-3145,MEM-0039,Frankenstein,Gothic,2026-03-15,2026-04-05,2026-04-05,0.0
CHK-3146,MEM-0055,The Great Gatsby,Classic Fiction,2026-05-24,2026-06-14,2026-06-14,0.0
CHK-3147,MEM-0045,War and Peace,Historical Fiction,2026-02-26,2026-03-19,2026-03-29,2.5
CHK-3148,MEM-0025,War and Peace,Historical Fiction,2026-01-31,2026-02-21,2026-02-22,0.25
CHK-3149,MEM-0037,The Great Gatsby,Classic Fiction,2026-06-03,2026-06-24,,
CHK-3150,MEM-0040,1984,Dystopian,2026-04-14,2026-05-05,,
CHK-3151,MEM-0058,Crime and Punishment,Historical Fiction,2026-03-31,2026-04-21,2026-05-09,4.5
CHK-3152,MEM-0033,The Catcher in the Rye,Classic Fiction,2026-05-27,2026-06-17,2026-06-17,0.0
CHK-3153,MEM-0043,The Catcher in the Rye,Classic Fiction,2026-03-06,2026-03-27,2026-03-28,0.25
CHK-3154,MEM-0011,1984,Dystopian,2026-02-20,2026-03-13,2026-03-22,2.25
CHK-3155,MEM-0041,Jane Eyre,Gothic,2026-02-13,2026-03-06,2026-03-09,
CHK-3156,MEM-0038,Brave New World,Dystopian,2026-02-13,2026-03-06,,
CHK-3157,MEM-0047,1984,Dystopian,2026-06-23,2026-07-14,2026-07-14,0.0
CHK-3158,MEM-0027,Moby Dick,Adventure,2026-02-14,2026-03-07,2026-03-16,
CHK-3159,MEM-0055,1984,Dystopian,2026-06-29,2026-07-20,2026-07-20,0.0
CHK-3160,MEM-0041,Brave New World,Dystopian,2026-02-22,2026-03-15,2026-03-23,2.0
