transaction_id,account_id,txn_date,txn_time,txn_type,channel,amount,currency,balance_after,merchant,description,is_flagged
7000023,100002,2025-02-21,12:00:00,POS Purchase,POS,11096.94,NPR,944444.74,Amazon,Point-of-sale card purchase,False
7000029,100002,2025-07-04,13:30:00,Loan EMI,Internet Banking,3878.88,NPR,940565.86,,Loan EMI auto-debit,False
7000037,100002,2025-10-18,10:00:00,Transfer Out,IVR,17016.89,NPR,923548.97,,Outgoing fund transfer,False
7000033,100002,2025-10-27,19:00:00,Deposit,ATM,63098.7,NPR,986647.67,Self,Cash deposit at branch counter,False
7000047,100002,2025-10-29,13:00:00,Fee,POS,178.97,NPR,986468.7,,Monthly account maintenance fee,False
7000044,100002,2025-11-17,06:15:00,Interest Credit,POS,32009.62,NPR,1018478.32,,Quarterly interest credit,False
7000022,100002,2025-11-30,12:45:00,Withdrawal,POS,45071.57,NPR,973406.75,Self,ATM cash withdrawal,False
7000038,100002,2025-12-12,08:00:00,Withdrawal,Branch,25545.26,NPR,947861.49,Self,ATM cash withdrawal,False
7000028,100002,2026-02-19,13:00:00,POS Purchase,Mobile App,7533.12,NPR,940328.37,NTC Recharge,Point-of-sale card purchase,False
7000021,100002,2026-02-26,08:00:00,Interest Credit,Branch,18404.24,NPR,958732.61,,Quarterly interest credit,False
7000025,100002,2026-03-31,11:30:00,Loan EMI,Internet Banking,39881.81,NPR,918850.8,,Loan EMI auto-debit,False
7000024,100002,2026-05-07,06:15:00,Deposit,IVR,5784.13,NPR,924634.93,Self,Cash deposit at branch counter,False
7000042,100002,2026-05-31,16:15:00,Withdrawal,Mobile App,60613.64,NPR,864021.29,Self,ATM cash withdrawal,False
7000045,100002,2026-07-15,15:30:00,Withdrawal,IVR,5998.67,NPR,858022.62,Self,ATM cash withdrawal,False
7000040,100002,2026-07-31,09:30:00,Fee,ATM,1165.68,NPR,856856.94,,Monthly account maintenance fee,False
7000035,100002,2026-08-28,11:30:00,Withdrawal,Internet Banking,11622.85,NPR,845234.09,Self,ATM cash withdrawal,False
7000048,100003,2026-04-17,17:30:00,Fee,ATM,439.07,NPR,102162.27,,Monthly account maintenance fee,False
7000054,100003,2026-04-21,09:00:00,Fee,Internet Banking,735.25,NPR,101427.02,,Monthly account maintenance fee,False
7000053,100003,2026-04-26,17:15:00,Deposit,Internet Banking,9642.65,NPR,111069.67,Self,Cash deposit at branch counter,False
7000049,100003,2026-05-19,14:30:00,Transfer In,IVR,35216.96,NPR,146286.63,,Incoming fund transfer,False
7000050,100003,2026-05-26,13:15:00,Interest Credit,Branch,49785.1,NPR,196071.73,,Quarterly interest credit,False
7000057,100003,2026-07-15,16:00:00,Fee,ATM,693.68,NPR,195378.05,,Monthly account maintenance fee,False
7000051,100003,2026-07-20,13:15:00,Fee,Branch,1401.77,NPR,193976.28,,Monthly account maintenance fee,False
7000052,100003,2026-07-21,21:30:00,Transfer Out,ATM,55483.28,NPR,138493,,Outgoing fund transfer,False
7000056,100003,2026-08-01,12:00:00,Transfer Out,Branch,28729.23,NPR,109763.77,,Outgoing fund transfer,False
7000055,100003,2026-08-17,21:15:00,POS Purchase,Branch,1260.74,NPR,108503.03,IME Remit,Point-of-sale card purchase,False
7000062,100004,2024-07-29,08:00:00,Withdrawal,Mobile App,18384.75,NPR,66080.97,Self,ATM cash withdrawal,False
7000060,100004,2024-08-05,14:45:00,Interest Credit,Internet Banking,9822.17,NPR,75903.14,,Quarterly interest credit,False
7000067,100004,2025-04-05,15:45:00,Withdrawal,Branch,14259.52,NPR,61643.62,Self,ATM cash withdrawal,False
7000063,100004,2025-05-08,22:00:00,POS Purchase,POS,3199.25,NPR,58444.37,Bhat-Bhateni Supermarket,Point-of-sale card purchase,False
7000058,100004,2025-05-10,18:00:00,Transfer Out,POS,48425.58,NPR,10018.79,,Outgoing fund transfer,False
7000065,100004,2025-10-28,16:00:00,Transfer In,Internet Banking,34753.48,NPR,44772.27,,Incoming fund transfer,False
7000066,100004,2025-11-03,06:45:00,Interest Credit,ATM,85777.8,NPR,130550.07,,Quarterly interest credit,False
7000064,100004,2025-12-04,13:45:00,POS Purchase,POS,8924.42,NPR,121625.65,Amazon,Point-of-sale card purchase,False
7000061,100004,2026-03-14,20:30:00,POS Purchase,Branch,8816.21,NPR,112809.44,,Point-of-sale card purchase,False
7000059,100004,2026-08-24,13:15:00,Deposit,Branch,41139.79,NPR,153949.23,Self,Cash deposit at branch counter,False
7000069,100005,2024-01-26,06:30:00,Loan EMI,Internet Banking,31523.04,NPR,105320.76,,Loan EMI auto-debit,False
7000078,100005,2024-06-20,20:45:00,Loan EMI,Internet Banking,6369.46,NPR,98951.3,,Loan EMI auto-debit,False
7000071,100005,2024-07-16,15:45:00,Transfer Out,ATM,54237.99,NPR,44713.31,,Outgoing fund transfer,False
7000072,100005,2024-08-19,07:45:00,Fee,Mobile App,1463.66,NPR,43249.65,,Monthly account maintenance fee,False
7000070,100005,2024-08-26,21:15:00,POS Purchase,Mobile App,930.01,NPR,42319.64,eSewa,Point-of-sale card purchase,False
7000074,100005,2024-09-01,10:30:00,Transfer In,Branch,78697.02,NPR,121016.66,,Incoming fund transfer,False
7000068,100005,2024-11-07,12:00:00,Transfer Out,POS,48730.64,NPR,72286.02,,Outgoing fund transfer,False
7000073,100005,2024-12-17,06:30:00,Transfer In,IVR,39357.71,NPR,111643.73,,Incoming fund transfer,False
7000075,100005,2025-05-01,10:30:00,POS Purchase,IVR,6808.21,NPR,104835.52,Salary Employer Pvt Ltd,Point-of-sale card purchase,False
7000076,100005,2025-07-29,10:15:00,Transfer Out,Internet Banking,8010.72,NPR,96824.8,,Outgoing fund transfer,False
7000077,100005,2025-08-18,11:15:00,Transfer In,Branch,30651.5,NPR,127476.3,,Incoming fund transfer,False
7000079,100005,2026-06-28,10:30:00,Fee,ATM,876.75,NPR,126599.55,,Monthly account maintenance fee,False
7000099,100006,2026-02-28,13:00:00,Withdrawal,Branch,54443.49,NPR,164945.9,Self,ATM cash withdrawal,False
7000087,100006,2026-03-01,11:45:00,Interest Credit,Mobile App,42376.23,NPR,207322.13,,Quarterly interest credit,False
7000104,100006,2026-03-15,14:15:00,Withdrawal,IVR,40638.64,NPR,166683.49,Self,ATM cash withdrawal,False
7000081,100006,2026-03-17,10:45:00,Fee,ATM,469.01,NPR,166214.48,,Monthly account maintenance fee,False
7000107,100006,2026-03-17,08:15:00,Fee,Branch,1212.89,NPR,165001.59,,Monthly account maintenance fee,False
7000084,100006,2026-03-18,14:45:00,Loan EMI,Internet Banking,27871.84,NPR,137129.75,,Loan EMI auto-debit,False
7000080,100006,2026-03-23,09:00:00,Loan EMI,Internet Banking,5166.81,NPR,131962.94,,Loan EMI auto-debit,False
7000095,100006,2026-03-28,12:15:00,Interest Credit,Mobile App,91443.26,NPR,223406.2,,Quarterly interest credit,False
7000101,100006,2026-03-28,12:15:00,Deposit,Branch,8018.44,NPR,231424.64,Self,Cash deposit at branch counter,False
7000089,100006,2026-04-02,13:30:00,Loan EMI,Internet Banking,40803.82,NPR,190620.82,,Loan EMI auto-debit,False
7000100,100006,2026-04-26,13:00:00,Transfer In,IVR,16745.97,NPR,207366.79,,Incoming fund transfer,False
7000088,100006,2026-04-27,12:45:00,Interest Credit,Branch,92934.24,NPR,300301.03,,Quarterly interest credit,False
7000083,100006,2026-04-30,17:15:00,POS Purchase,POS,6070.18,NPR,294230.85,Khalti,Point-of-sale card purchase,False
7000103,100006,2026-05-04,11:30:00,POS Purchase,Branch,4096.23,NPR,290134.62,NTC Recharge,Point-of-sale card purchase,False
7000091,100006,2026-05-06,10:45:00,Transfer Out,POS,7528.68,NPR,282605.94,,Outgoing fund transfer,False
7000102,100006,2026-05-23,15:45:00,POS Purchase,Mobile App,1019.18,NPR,281586.76,Self,Point-of-sale card purchase,False
7000105,100006,2026-05-25,12:00:00,Interest Credit,ATM,47766.81,NPR,329353.57,,Quarterly interest credit,False
7000093,100006,2026-05-26,16:15:00,Interest Credit,Internet Banking,66980.49,NPR,396334.06,,Quarterly interest credit,False
7000096,100006,2026-06-01,14:15:00,Transfer Out,Mobile App,49849.19,NPR,346484.87,,Outgoing fund transfer,False
7000090,100006,2026-06-04,10:15:00,Interest Credit,Mobile App,63084.28,NPR,409569.15,,Quarterly interest credit,False
7000082,100006,2026-07-12,22:00:00,Withdrawal,Mobile App,24619.7,NPR,384949.45,Self,ATM cash withdrawal,False
7000109,100006,2026-07-21,12:00:00,POS Purchase,Branch,5310.34,NPR,379639.11,NEA Bill Pay,Point-of-sale card purchase,False
7000098,100006,2026-07-29,14:00:00,Deposit,IVR,50903.9,NPR,430543.01,Self,Cash deposit at branch counter,False
7000097,100006,2026-07-30,07:15:00,Withdrawal,IVR,29679,NPR,400864.01,Self,ATM cash withdrawal,False
7000092,100006,2026-08-11,20:30:00,Loan EMI,Internet Banking,6267.34,NPR,394596.67,,Loan EMI auto-debit,False
7000085,100006,2026-08-23,17:30:00,Transfer In,IVR,90884.4,NPR,485481.07,,Incoming fund transfer,True
7000094,100006,2026-08-23,11:45:00,POS Purchase,IVR,358.72,NPR,485122.35,,Point-of-sale card purchase,False
7000106,100006,2026-08-23,06:15:00,Transfer In,Mobile App,40283.18,NPR,525405.53,,Incoming fund transfer,False
7000086,100006,2026-08-25,21:15:00,Withdrawal,POS,48234.96,NPR,477170.57,Self,ATM cash withdrawal,False
7000108,100006,2026-08-27,13:00:00,Transfer Out,Internet Banking,29500.16,NPR,447670.41,,Outgoing fund transfer,False
7000134,100007,2024-09-24,14:00:00,Deposit,POS,82017.95,NPR,86368.67,Self,Cash deposit at branch counter,True
7000111,100007,2024-10-25,13:30:00,Deposit,Branch,21889.2,NPR,108257.87,Self,Cash deposit at branch counter,False
7000122,100007,2024-11-01,20:00:00,Transfer In,POS,81557.82,NPR,189815.69,,Incoming fund transfer,True
7000116,100007,2024-11-13,10:15:00,Fee,ATM,521.29,NPR,189294.4,,Monthly account maintenance fee,False
7000131,100007,2025-01-11,13:00:00,POS Purchase,POS,10428.95,NPR,178865.45,Self,Point-of-sale card purchase,False
7000124,100007,2025-02-19,07:00:00,Withdrawal,Branch,25722.22,NPR,153143.23,Self,ATM cash withdrawal,False
7000133,100007,2025-03-19,12:45:00,Interest Credit,Mobile App,69345.52,NPR,222488.75,,Quarterly interest credit,False
7000130,100007,2025-04-18,10:15:00,Loan EMI,Internet Banking,33827.69,NPR,188661.06,,Loan EMI auto-debit,False
7000114,100007,2025-05-13,15:45:00,Deposit,Mobile App,44085.71,NPR,232746.77,Self,Cash deposit at branch counter,False
7000137,100007,2025-05-14,19:15:00,Withdrawal,IVR,1015.9,NPR,231730.87,Self,ATM cash withdrawal,False
7000110,100007,2025-05-28,22:30:00,POS Purchase,POS,9047.48,NPR,222683.39,Salary Employer Pvt Ltd,Point-of-sale card purchase,False
7000128,100007,2025-05-30,09:00:00,Withdrawal,POS,29883.66,NPR,192799.73,Self,ATM cash withdrawal,False
7000113,100007,2025-08-08,10:15:00,Transfer Out,Mobile App,64698.08,NPR,128101.65,,Outgoing fund transfer,False
7000120,100007,2025-08-15,17:45:00,POS Purchase,IVR,10249.66,NPR,117851.99,Salary Employer Pvt Ltd,Point-of-sale card purchase,False
7000135,100007,2025-08-24,14:30:00,Deposit,Mobile App,21807.04,NPR,139659.03,Self,Cash deposit at branch counter,False
7000136,100007,2025-10-12,18:30:00,Fee,Internet Banking,945.85,NPR,138713.18,,Monthly account maintenance fee,False
7000129,100007,2025-10-24,15:45:00,Fee,ATM,735.51,NPR,137977.67,,Monthly account maintenance fee,False
7000127,100007,2025-10-25,16:30:00,Transfer In,Internet Banking,72718.41,NPR,210696.08,,Incoming fund transfer,False
7000117,100007,2026-01-09,09:30:00,Transfer Out,Mobile App,2158.72,NPR,208537.36,,Outgoing fund transfer,False
7000119,100007,2026-02-01,22:15:00,Loan EMI,Internet Banking,5801.83,NPR,202735.53,,Loan EMI auto-debit,False
7000132,100007,2026-03-03,10:30:00,Fee,IVR,730.36,NPR,202005.17,,Monthly account maintenance fee,False
7000115,100007,2026-03-13,16:00:00,Interest Credit,Branch,68568.8,NPR,270573.97,,Quarterly interest credit,False
7000118,100007,2026-03-19,08:45:00,POS Purchase,Branch,3832.62,NPR,266741.35,Daraz,Point-of-sale card purchase,False
7000126,100007,2026-03-22,11:15:00,Transfer In,Internet Banking,57427.53,NPR,324168.88,,Incoming fund transfer,False
7000121,100007,2026-06-19,08:30:00,Interest Credit,Internet Banking,5039.85,NPR,329208.73,,Quarterly interest credit,False
7000112,100007,2026-07-11,12:15:00,Transfer Out,Internet Banking,46718.34,NPR,282490.39,,Outgoing fund transfer,False
7000123,100007,2026-07-29,16:45:00,Fee,IVR,149.38,NPR,282341.01,,Monthly account maintenance fee,False
7000125,100007,2026-08-11,08:30:00,Fee,Branch,245.81,NPR,282095.2,,Monthly account maintenance fee,False
7000157,100008,2024-05-15,22:15:00,Deposit,Branch,19860.96,NPR,272512.37,Self,Cash deposit at branch counter,False
7000159,100008,2024-08-06,14:30:00,Loan EMI,Internet Banking,28288.71,NPR,244223.66,,Loan EMI auto-debit,False
7000158,100008,2024-08-25,20:00:00,POS Purchase,ATM,6785.58,NPR,237438.08,Foodmandu,Point-of-sale card purchase,False
7000153,100008,2024-08-28,08:45:00,Loan EMI,Internet Banking,18984.85,NPR,218453.23,,Loan EMI auto-debit,False
7000156,100008,2024-09-23,09:30:00,Transfer In,IVR,1863.52,NPR,220316.75,,Incoming fund transfer,False
7000151,100008,2024-09-24,17:00:00,Withdrawal,POS,34134.48,NPR,186182.27,Self,ATM cash withdrawal,False
7000145,100008,2024-10-09,21:45:00,Deposit,IVR,81719.13,NPR,267901.4,Self,Cash deposit at branch counter,True
7000144,100008,2024-11-07,08:45:00,Deposit,POS,35278.7,NPR,303180.1,Self,Cash deposit at branch counter,False
7000162,100008,2024-11-12,13:15:00,Fee,ATM,799.19,NPR,302380.91,,Monthly account maintenance fee,False
7000143,100008,2024-11-30,16:00:00,Interest Credit,Branch,6268.89,NPR,308649.8,,Quarterly interest credit,False
7000154,100008,2025-02-18,22:15:00,Transfer Out,Mobile App,19754.29,NPR,288895.51,,Outgoing fund transfer,False
7000149,100008,2025-03-26,09:00:00,Transfer Out,IVR,35371.35,NPR,253524.16,,Outgoing fund transfer,False
7000139,100008,2025-04-13,10:15:00,Interest Credit,Mobile App,41626.96,NPR,295151.12,,Quarterly interest credit,False
7000160,100008,2025-05-24,20:00:00,Transfer Out,IVR,14224.91,NPR,280926.21,,Outgoing fund transfer,False
7000165,100008,2025-06-16,19:15:00,Deposit,Branch,82605.44,NPR,363531.65,Self,Cash deposit at branch counter,False
7000142,100008,2025-07-14,12:30:00,Interest Credit,IVR,74419.74,NPR,437951.39,,Quarterly interest credit,False
7000148,100008,2025-07-28,13:15:00,Withdrawal,Branch,29109.62,NPR,408841.77,Self,ATM cash withdrawal,False
7000155,100008,2025-09-30,10:45:00,POS Purchase,Branch,9063.33,NPR,399778.44,Amazon,Point-of-sale card purchase,False
7000163,100008,2025-11-09,20:15:00,Transfer Out,Branch,46955.38,NPR,352823.06,,Outgoing fund transfer,False
7000150,100008,2025-11-15,10:45:00,POS Purchase,Branch,6895.42,NPR,345927.64,Local ATM Withdrawal,Point-of-sale card purchase,False
7000146,100008,2026-01-02,21:30:00,Fee,POS,966.84,NPR,344960.8,,Monthly account maintenance fee,False
7000140,100008,2026-02-04,11:30:00,Interest Credit,Mobile App,77993.83,NPR,422954.63,,Quarterly interest credit,False
7000138,100008,2026-04-04,15:30:00,Deposit,ATM,16450.98,NPR,439405.61,Self,Cash deposit at branch counter,False
7000147,100008,2026-04-10,17:00:00,Interest Credit,IVR,79726.35,NPR,519131.96,,Quarterly interest credit,False
7000161,100008,2026-05-21,11:15:00,Withdrawal,Mobile App,567.51,NPR,518564.45,Self,ATM cash withdrawal,False
7000152,100008,2026-06-10,13:30:00,Transfer Out,Branch,48464.01,NPR,470100.44,,Outgoing fund transfer,False
7000164,100008,2026-07-24,07:45:00,Fee,POS,1265.61,NPR,468834.83,,Monthly account maintenance fee,False
7000141,100008,2026-08-14,07:45:00,Transfer In,IVR,89146.17,NPR,557981,,Incoming fund transfer,False
7000173,100009,2025-04-30,19:30:00,Loan EMI,Internet Banking,17871.86,NPR,22546.08,,Loan EMI auto-debit,False
7000181,100009,2025-05-17,14:00:00,POS Purchase,Internet Banking,4091.56,NPR,18454.52,Khalti,Point-of-sale card purchase,False
7000179,100009,2025-06-06,16:45:00,Withdrawal,Branch,58359.64,NPR,-39905.12,Self,ATM cash withdrawal,False
7000176,100009,2025-06-27,06:15:00,Fee,IVR,853.62,NPR,-40758.74,,Monthly account maintenance fee,False
7000166,100009,2025-07-12,19:15:00,POS Purchase,POS,7718.71,NPR,-48477.45,Self,Point-of-sale card purchase,False
7000169,100009,2025-08-03,22:30:00,Transfer In,Branch,56106.57,NPR,7629.12,,Incoming fund transfer,False
7000167,100009,2025-09-08,17:45:00,Transfer Out,Internet Banking,10647.5,NPR,-3018.38,,Outgoing fund transfer,False
7000172,100009,2025-09-13,18:00:00,Transfer In,IVR,7147.78,NPR,4129.4,,Incoming fund transfer,False
7000183,100009,2025-11-08,18:00:00,Interest Credit,ATM,78073.3,NPR,82202.7,,Quarterly interest credit,False
7000168,100009,2025-12-01,20:00:00,Fee,ATM,284.8,NPR,81917.9,,Monthly account maintenance fee,False
7000175,100009,2026-01-15,18:45:00,POS Purchase,IVR,6180.52,NPR,75737.38,Amazon,Point-of-sale card purchase,False
7000182,100009,2026-02-19,06:30:00,Interest Credit,IVR,6570.04,NPR,82307.42,,Quarterly interest credit,False
7000174,100009,2026-02-23,06:00:00,Interest Credit,Internet Banking,61393.14,NPR,143700.56,,Quarterly interest credit,False
7000177,100009,2026-03-02,13:30:00,Interest Credit,POS,75188.36,NPR,218888.92,,Quarterly interest credit,False
7000170,100009,2026-03-21,21:45:00,Transfer In,Internet Banking,45676.76,NPR,264565.68,,Incoming fund transfer,False
7000171,100009,2026-05-15,22:15:00,Fee,Internet Banking,801.84,NPR,263763.84,,Monthly account maintenance fee,False
7000180,100009,2026-06-09,17:30:00,POS Purchase,POS,3404.96,NPR,260358.88,Bhat-Bhateni Supermarket,Point-of-sale card purchase,False
7000178,100009,2026-08-03,11:30:00,Transfer In,IVR,52520.66,NPR,312879.54,,Incoming fund transfer,False
7000184,100010,2024-08-02,10:30:00,Transfer Out,ATM,4054.11,NPR,-4054.11,,Outgoing fund transfer,False
7000185,100010,2024-08-12,09:00:00,Transfer Out,Mobile App,3931.74,NPR,-7985.85,,Outgoing fund transfer,False
7000188,100011,2024-02-09,09:00:00,Fee,ATM,171.95,NPR,657229.51,,Monthly account maintenance fee,False
7000191,100011,2024-05-03,19:30:00,Interest Credit,Internet Banking,93010.04,NPR,750239.55,,Quarterly interest credit,True
7000190,100011,2024-06-14,17:15:00,POS Purchase,ATM,1419.29,NPR,748820.26,Khalti,Point-of-sale card purchase,False
7000192,100011,2024-08-26,11:15:00,POS Purchase,Branch,5874.43,NPR,742945.83,Amazon,Point-of-sale card purchase,False
7000189,100011,2024-12-01,11:00:00,Deposit,IVR,67345.62,NPR,810291.45,Self,Cash deposit at branch counter,False
7000197,100011,2025-12-05,06:00:00,Transfer In,IVR,36538.28,NPR,846829.73,,Incoming fund transfer,False
7000186,100011,2026-03-02,12:00:00,Withdrawal,Internet Banking,60146.28,NPR,786683.45,Self,ATM cash withdrawal,False
7000194,100011,2026-03-12,06:45:00,Deposit,POS,41872.08,NPR,828555.53,Self,Cash deposit at branch counter,False
7000187,100011,2026-05-29,11:15:00,POS Purchase,Internet Banking,8804.66,NPR,819750.87,Daraz,Point-of-sale card purchase,False
7000195,100011,2026-06-21,18:15:00,POS Purchase,IVR,422.71,NPR,819328.16,Self,Point-of-sale card purchase,False
7000193,100011,2026-07-03,07:45:00,Transfer In,Mobile App,14632.59,NPR,833960.75,,Incoming fund transfer,False
7000196,100011,2026-07-25,10:45:00,Deposit,POS,74757.49,NPR,908718.24,Self,Cash deposit at branch counter,False
7000210,100012,2024-06-01,15:00:00,Withdrawal,ATM,48742.41,NPR,812201.78,Self,ATM cash withdrawal,False
7000206,100012,2024-07-07,17:00:00,Fee,IVR,1108.97,NPR,811092.81,,Monthly account maintenance fee,False
7000200,100012,2024-11-17,06:30:00,Fee,POS,1198.7,NPR,809894.11,,Monthly account maintenance fee,False
7000216,100012,2025-01-05,11:30:00,Fee,ATM,1373.28,NPR,808520.83,,Monthly account maintenance fee,False
7000202,100012,2025-01-21,07:15:00,POS Purchase,Branch,10322.73,NPR,798198.1,IME Remit,Point-of-sale card purchase,False
7000208,100012,2025-01-24,22:45:00,Fee,ATM,1183.99,NPR,797014.11,,Monthly account maintenance fee,False
7000215,100012,2025-03-25,21:15:00,Fee,ATM,288.15,NPR,796725.96,,Monthly account maintenance fee,False
7000211,100012,2025-04-10,13:30:00,Transfer In,Internet Banking,60574.32,NPR,857300.28,,Incoming fund transfer,False
7000205,100012,2025-05-05,19:45:00,Withdrawal,Branch,18126.01,NPR,839174.27,Self,ATM cash withdrawal,False
7000212,100012,2025-07-14,08:00:00,Deposit,Branch,45506.05,NPR,884680.32,Self,Cash deposit at branch counter,False
7000209,100012,2025-07-26,18:45:00,Fee,Mobile App,982.45,NPR,883697.87,,Monthly account maintenance fee,False
7000213,100012,2025-08-03,08:30:00,Transfer Out,IVR,39127.54,NPR,844570.33,,Outgoing fund transfer,False
7000199,100012,2025-08-19,18:15:00,Interest Credit,POS,90781.54,NPR,935351.87,,Quarterly interest credit,True
7000207,100012,2025-09-02,12:00:00,Deposit,Mobile App,79294.04,NPR,1014645.91,Self,Cash deposit at branch counter,False
7000201,100012,2026-02-01,16:15:00,Interest Credit,Mobile App,72016.21,NPR,1086662.12,,Quarterly interest credit,False
7000204,100012,2026-04-06,08:15:00,Loan EMI,Internet Banking,42201.08,NPR,1044461.04,,Loan EMI auto-debit,False
7000198,100012,2026-04-07,18:45:00,Loan EMI,Internet Banking,31111.31,NPR,1013349.73,,Loan EMI auto-debit,False
7000203,100012,2026-06-03,19:30:00,Loan EMI,Internet Banking,6469.85,NPR,1006879.88,,Loan EMI auto-debit,False
7000214,100012,2026-08-23,09:15:00,Interest Credit,ATM,88627.97,NPR,1095507.85,,Quarterly interest credit,False
7000225,100013,2024-11-27,15:45:00,Deposit,Branch,19593.52,NPR,53648.93,Self,Cash deposit at branch counter,False
7000223,100013,2024-12-23,09:15:00,Transfer In,Mobile App,84200.2,NPR,137849.13,,Incoming fund transfer,True
7000218,100013,2025-03-08,07:45:00,Withdrawal,Mobile App,59410.84,NPR,78438.29,Self,ATM cash withdrawal,False
7000220,100013,2025-06-23,16:45:00,Transfer In,POS,65031.15,NPR,143469.44,,Incoming fund transfer,False
7000217,100013,2025-07-05,20:15:00,Loan EMI,Internet Banking,29234.77,NPR,114234.67,,Loan EMI auto-debit,False
7000222,100013,2025-08-05,21:30:00,Fee,POS,583.11,NPR,113651.56,,Monthly account maintenance fee,False
7000226,100013,2025-08-05,17:45:00,Interest Credit,IVR,73951.9,NPR,187603.46,,Quarterly interest credit,False
7000224,100013,2025-08-25,11:30:00,POS Purchase,Mobile App,3498.96,NPR,184104.5,Salary Employer Pvt Ltd,Point-of-sale card purchase,False
7000219,100013,2025-11-05,12:30:00,Transfer Out,POS,30223.41,NPR,153881.09,,Outgoing fund transfer,False
7000221,100013,2026-07-31,21:45:00,Transfer In,Internet Banking,13196.9,NPR,167077.99,,Incoming fund transfer,False
7000229,100014,2025-10-17,08:15:00,Loan EMI,Internet Banking,11804.71,NPR,54728.78,,Loan EMI auto-debit,False
7000247,100014,2025-10-31,12:00:00,Transfer Out,ATM,39341.51,NPR,15387.27,,Outgoing fund transfer,False
7000248,100014,2025-11-23,16:00:00,Fee,Branch,1172.27,NPR,14215,,Monthly account maintenance fee,False
